catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
regulatory information service center,regulatory information service center,Regulatory Information Service Center (RISC),US Executive Branch,Independent Agency|US General Services Administration,,,reginfo.gov,,United States,,,,,,,
US general services administration,US general services administration,US General Services Administration,US Executive Branch,Independent Agency|US General Services Administration,,,code.gov|itdashboard.gov|usability.gov,,United States,,,,,,,
us general services administration,us general services administration,US General Services Administration,US Executive Branch,Independent Agency|US General Services Administration,,,afadvantage.gov|frpg.gov|gsaadvantage.gov|ussm.gov,,United States,,,,,,,
gov domain ops,gov domain ops,Gov Domain OPS,US Executive Branch,GOV Domain OPS,,,ata.gov,,United States,,,,,,,
gov domain ops,gov domain ops,Gov Domain Ops,US Executive Branch,GOV Domain OPS,,,fraho.gov,,United States,,,,,,,
gov domain ops,gov domain ops,GOV Domain OPS,US Executive Branch,GOV Domain OPS,,,osdls.gov,,United States,,,,,,,
gsa - office of governmentwide policy,gsa - office of governmentwide policy,GSA - Office of Governmentwide Policy,US Executive Branch,GOV Domain OPS,,,erpo.gov|nrpo.gov|owc.gov|psup.gov,,United States,,,,,,,
gsa office of governmentwide policy,gsa office of governmentwide policy,GSA Office of Governmentwide Policy,US Executive Branch,GOV Domain OPS,,,jpo.gov|psd.gov|rpo.gov,,United States,,,,,,,
ogp - general services administration,ogp - general services administration,OGP - General Services Administration,US Executive Branch,GOV Domain OPS,,,ecfc.gov,,United States,,,,,,,
ogp - general services administration,ogp - general services administration,OGP - General Services Administration,US Executive Branch,GOV Domain OPS,,,pubservices.gov,,United States,,,,,,,
