academic_terms,original_string,new_string,domains,country,as_of,
universidad nacional de misiones,universidad nacional de misiones,universidad nacional de misiones,unam.edu.ar,Argentina,2021-08-24,
universidad nacional de quilmes,universidad nacional de quilmes,universidad nacional de quilmes,unq.edu.ar,Argentina,2021-08-24,
universidad nacional de río cuarto,universidad nacional de río cuarto,universidad nacional de río cuarto,unrc.edu.ar,Argentina,2021-08-24,
universidad nacional de rosario,universidad nacional de rosario,universidad nacional de rosario,unr.edu.ar,Argentina,2021-08-24,
universidad nacional de salta,universidad nacional de salta,universidad nacional de salta,unsa.edu.ar,Argentina,2021-08-24,
universidad nacional de san juan,universidad nacional de san juan,universidad nacional de san juan,unsj.edu.ar,Argentina,2021-08-24,
universidad nacional de san luis,universidad nacional de san luis,universidad nacional de san luis,unsl.edu.ar,Argentina,2021-08-24,
universidad nacional de santiago del estero,universidad nacional de santiago del estero,universidad nacional de santiago del estero,unse.edu.ar,Argentina,2021-08-24,
universidad nacional de tres de febrero,universidad nacional de tres de febrero,universidad nacional de tres de febrero,untref.edu.ar,Argentina,2021-08-24,
universidad nacional de tucumán,universidad nacional de tucumán,universidad nacional de tucumán,unt.edu.ar,Argentina,2021-08-24,
universidad nacional de villa maría,universidad nacional de villa maría,universidad nacional de villa maría,webs.satlink.com,Argentina,2021-08-24,
universidad nacional del centro de la provincia de buenos aires,universidad nacional del centro de la provincia de buenos aires,universidad nacional del centro de la provincia de buenos aires,unicen.edu.ar,Argentina,2021-08-24,
universidad nacional del comahue,universidad nacional del comahue,universidad nacional del comahue,uncoma.edu.ar,Argentina,2021-08-24,
universidad nacional del littoral,universidad nacional del littoral,universidad nacional del littoral,unl.edu.ar,Argentina,2021-08-24,
universidad nacional del nordeste,universidad nacional del nordeste,universidad nacional del nordeste,unne.edu.ar,Argentina,2021-08-24,
universidad nacional del noroeste de la provincia de buenos aires,universidad nacional del noroeste de la provincia de buenos aires,universidad nacional del noroeste de la provincia de buenos aires,unnoba.edu.ar,Argentina,2021-08-24,
universidad nacional del sur,universidad nacional del sur,universidad nacional del sur,uns.edu.ar,Argentina,2021-08-24,
universidad notarial argentina,universidad notarial argentina,universidad notarial argentina,universidadnotarial.edu.ar,Argentina,2021-08-24,
universidad tecnológica nacional,universidad tecnológica nacional,universidad tecnológica nacional,utn.edu.ar,Argentina,2021-08-24,
