catch_terms,recode_column,organization_name,domains,country,to_edit,dataset,parent_org,org_type
international federation of adapted physical activity,international federation of adapted physical activity,International Federation of Adapted Physical Activity,,,,NGO List,,
international federation of hard of hearing people,international federation of hard of hearing people,International Federation of Hard of Hearing People,,,,NGO List,,
international human rights association of american minorities,international human rights association of american minorities,International Human Rights Association of American Minorities,,,,NGO List,,
international paralympic committee,international paralympic committee,International Paralympic Committee,,,,NGO List,,
international right to life federation,international right to life federation,International Right to Life Federation,,,,NGO List,,
international save the children alliance,international save the children alliance,International Save the Children Alliance,,,,NGO List,,
international society of physical and rehabilitation medicine,international society of physical and rehabilitation medicine,International Society of Physical and Rehabilitation Medicine,,,,NGO List,,
international stuttering association,international stuttering association,International Stuttering Association,,,,NGO List,,
international voluntary organization for women education and development,international voluntary organization for women education and development,"International Voluntary Organization for Women, Education and Development",,,,NGO List,,
international organization for standardization,international organization for standardization,International Organization for Standardization,,,,NGO List,,
iraqi handicapped and survivors society,iraqi handicapped and survivors society,Iraqi Handicapped and Survivors Society,,,,NGO List,,
ius gentium conimbrigae institutehuman rights centre,ius gentium conimbrigae institutehuman rights centre,IUS Gentium Conimbrigae Institute-Human Rights Centre,,,,NGO List,,
japan disability forum,japan disability forum,Japan Disability Forum,,,,NGO List,,
jesh foundation,jesh foundation,Jesh Foundation,,,,NGO List,,
joint national association of persons with disabilities,joint national association of persons with disabilities,Joint National Association of Persons with Disabilities,,,,NGO List,,
jubilee sailing trust,jubilee sailing trust,Jubilee Sailing Trust,,,,NGO List,,
junior chamber international nigeria,junior chamber international nigeria,Junior Chamber International Nigeria,,,,NGO List,,
kéroul,kéroul,Kéroul,,,,NGO List,,
keystone human services internationalkids brain health network,keystone human services internationalkids brain health network,Keystone Human Services InternationalKids Brain Health Network,,,,NGO List,,
korea association of persons with physical disabilities,korea association of persons with physical disabilities,Korea Association of Persons with Physical Disabilities,,,,NGO List,,
korean differently abled federation,korean differently abled federation,Korean Differently Abled Federation,,,,NGO List,,
korea differently abled women united,korea differently abled women united,Korea Differently Abled Women United,,,,NGO List,,
korea disability law association,korea disability law association,Korea Disability Law Association,,,,NGO List,,
korea employment security association for the disabled,korea employment security association for the disabled,Korea Employment Security Association for the Disabled,,,,NGO List,,
korea federation of organizations of the disabled,korea federation of organizations of the disabled,Korea Federation of Organizations of the Disabled,,,,NGO List,,
korean network for accessible tourism,korean network for accessible tourism,Korean Network for Accessible Tourism,,,,NGO List,,
korean society for rehabilitation of persons with disabilities,korean society for rehabilitation of persons with disabilities,Korean Society for Rehabilitation of Persons with Disabilities,,,,NGO List,,
korea spinal cord injury association,korea spinal cord injury association,Korea Spinal Cord Injury Association,,,,NGO List,,
koshish: national mental health selfhelp organisation,koshish: national mental health selfhelp organisation,Koshish: National Mental Health Self-help Organisation,,,,NGO List,,
kpakpando foundation for physically challenged persons,kpakpando foundation for physically challenged persons,Kpakpando Foundation for Physically Challenged Persons,,,,NGO List,,
kuwaiti society for guardians of the disabled,kuwaiti society for guardians of the disabled,Kuwaiti Society for Guardians of the Disabled,,,,NGO List,,
lakeshore foundation,lakeshore foundation,Lakeshore Foundation,,,,NGO List,,
landmine survivors network,landmine survivors network,Landmine Survivors Network,,,,NGO List,,
latin american blind union,latin american blind union,Latin American Blind Union,,,,NGO List,,
latin american network of nongovernmental organizations of persons with disabilities and their families,latin american network of nongovernmental organizations of persons with disabilities and their families,Latin American Network of Non-Governmental Organizations of Persons with Disabilities and their Families,,,,NGO List,,
lebanese physical handicapped union,lebanese physical handicapped union,Lebanese Physical Handicapped Union,,,,NGO List,,
lebanese welfare association for the handicapped,lebanese welfare association for the handicapped,Lebanese Welfare Association for the Handicapped,,,,NGO List,,
leonard cheshire international,leonard cheshire international,Leonard Cheshire International,,,,NGO List,,
lesotho national league of the visually impaired persons,lesotho national league of the visually impaired persons,Lesotho National League of the Visually Impaired Persons,,,,NGO List,,
life vanguards,life vanguards,Life Vanguards,,,,NGO List,,
lift up care for the needy foundation,lift up care for the needy foundation,Lift Up Care for the Needy Foundation,,,,NGO List,,
light for the world,light for the world,Light for the World,,,,NGO List,,
little people of kosova,little people of kosova,Little People of Kosova,,,,NGO List,,
lotos disability awareness and learning center,lotos disability awareness and learning center,LOTOS Disability Awareness and Learning Center,,,,NGO List,,
lumos foundation,lumos foundation,Lumos Foundation,,,,NGO List,,
march of dimes canada,march of dimes canada,March of Dimes Canada,,,,NGO List,,
manasa,manasa,Manasa,,,,NGO List,,
markaz‚Äêe‚Äêumeed for special needs children ‚Äê pakistan,markaz‚Äêe‚Äêumeed for special needs children ‚Äê pakistan,Markaz‚Äêe‚ÄêUmeed for Special Needs Children ‚Äê Pakistan,,,1,NGO List,,
mental disability advocacy centre,mental disability advocacy centre,Mental Disability Advocacy Centre,,,,NGO List,,
mental disability rights international,mental disability rights international,Mental Disability Rights International,,,,NGO List,,
