business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel,ownerofLabel
http://www.wikidata.org/entity/Q3884,BlackRock,,NASDAQ-100,Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,NASDAQ-100,Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,NASDAQ-100,Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),Internet Association,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 500,Alliance for Open Media,Treasure Truck
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 500,Alliance for Open Media,Treasure Truck
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 500,Alliance for Open Media,Treasure Truck
http://www.wikidata.org/entity/Q3884,BlackRock,,NASDAQ-100,Alliance for Open Media,Treasure Truck
