business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel
http://www.wikidata.org/entity/Q1418,BlackRock,,,Wi-Fi Alliance
http://www.wikidata.org/entity/Q1418,BlackRock,,,ANGA
http://www.wikidata.org/entity/Q1418,BlackRock,,,Electronic Book Exchange Working Group
http://www.wikidata.org/entity/Q1422,financial market,,,
http://www.wikidata.org/entity/Q1422,Exor,,,
http://www.wikidata.org/entity/Q1422,Lindsell Train,,,
http://www.wikidata.org/entity/Q2283,Bill Gates,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,BlackRock,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,The Vanguard Group,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,Bill Gates,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,BlackRock,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,The Vanguard Group,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,Bill Gates,,NASDAQ-100,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,BlackRock,,NASDAQ-100,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,The Vanguard Group,,NASDAQ-100,World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,Bill Gates,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,BlackRock,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,The Vanguard Group,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q2283,Bill Gates,,Dow Jones Industrial Average,Linux Foundation
http://www.wikidata.org/entity/Q2283,BlackRock,,Dow Jones Industrial Average,Linux Foundation
http://www.wikidata.org/entity/Q2283,The Vanguard Group,,Dow Jones Industrial Average,Linux Foundation
http://www.wikidata.org/entity/Q2283,Bill Gates,,S&P 500,Linux Foundation
http://www.wikidata.org/entity/Q2283,BlackRock,,S&P 500,Linux Foundation
http://www.wikidata.org/entity/Q2283,The Vanguard Group,,S&P 500,Linux Foundation
http://www.wikidata.org/entity/Q2283,Bill Gates,,NASDAQ-100,Linux Foundation
http://www.wikidata.org/entity/Q2283,BlackRock,,NASDAQ-100,Linux Foundation
http://www.wikidata.org/entity/Q2283,The Vanguard Group,,NASDAQ-100,Linux Foundation
http://www.wikidata.org/entity/Q2283,Bill Gates,,Big Tech (web),Linux Foundation
http://www.wikidata.org/entity/Q2283,BlackRock,,Big Tech (web),Linux Foundation
http://www.wikidata.org/entity/Q2283,The Vanguard Group,,Big Tech (web),Linux Foundation
http://www.wikidata.org/entity/Q2283,Bill Gates,,Dow Jones Industrial Average,Wi-Fi Alliance
