catch_terms,recode_column,organization,domain_name,domain_type,agency,city,state,country
office of energy efficiency & renewable energy,office of energy efficiency & renewable energy,Office of Energy Efficiency & Renewable Energy,homeenergyscore.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
research and special programs administration / volpe,research and special programs administration / volpe,Research and Special Programs Administration / Volpe,hydrogen.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
idaho national laboratory,idaho national laboratory,Idaho National Laboratory,inel.gov|inl.gov,Federal Agency - Executive,Department of Energy,Idaho Falls,ID,United States
the national isotope development center,the national isotope development center,The National Isotope Development Center,isotope.gov|isotopes.gov,Federal Agency - Executive,Department of Energy,Oak Ridge,TN,United States
los alamos national laboratory,los alamos national laboratory,Los Alamos National Laboratory,lanl.gov,Federal Agency - Executive,Department of Energy,Los Alamos,NM,United States
lawrence berkeley national laboratory,lawrence berkeley national laboratory,Lawrence Berkeley National Laboratory,lbl.gov,Federal Agency - Executive,Department of Energy,Berkeley,CA,United States
lawrence livermore national laboratory,lawrence livermore national laboratory,Lawrence Livermore National Laboratory,llnl.gov,Federal Agency - Executive,Department of Energy,Livermore,CA,United States
national energy research scientific computing center,national energy research scientific computing center,National Energy Research Scientific Computing Center,nersc.gov,Federal Agency - Executive,Department of Energy,Berkeley,CA,United States
office of nuclear energy,office of nuclear energy,Office of Nuclear Energy,neup.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
national renewable energy laboratory,national renewable energy laboratory,National Renewable Energy Laboratory,nrel.gov|nrelhub.gov,Federal Agency - Executive,Department of Energy,Golden,CO,United States
oak ridge national laboratory,oak ridge national laboratory,Oak Ridge National Laboratory,ntrc.gov,Federal Agency - Executive,Department of Energy,Knoxville,TN,United States
us department of energy,us department of energy,US Department of Energy,nuclear.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
orau,orau,ORAU,orau.gov,Federal Agency - Executive,Department of Energy,Oak Ridge,TN,United States
osti,osti,OSTI,osti.gov|science.gov,Federal Agency - Executive,Department of Energy,Oak Ridge,TN,United States
pacific northwest national laboratory,pacific northwest national laboratory,Pacific Northwest National Laboratory,pnl.gov|pnnl.gov,Federal Agency - Executive,Department of Energy,Richland,WA,United States
princeton plasma physics lab,princeton plasma physics lab,Princeton Plasma Physics Lab,pppl.gov,Federal Agency - Executive,Department of Energy,Princeton,NJ,United States
portsmouth/paducah project office,portsmouth/paducah project office,Portsmouth/Paducah Project Office,pppo.gov,Federal Agency - Executive,Department of Energy,Lexington,KY,United States
sandia national laboratories,sandia national laboratories,Sandia National Laboratories,sandia.gov,Federal Agency - Executive,Department of Energy,Albuquerque,NM,United States
office of electricity delivery and energy reliability,office of electricity delivery and energy reliability,Office of Electricity Delivery and Energy Reliability,smartgrid.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
office of energy efficiency &  renewable energy,office of energy efficiency &  renewable energy,Office of Energy Efficiency &  Renewable Energy,solardecathlon.gov,Federal Agency - Executive,Department of Energy,Washington,DC,United States
savannah river nuclear solutions (srns),savannah river nuclear solutions (srns),Savannah River Nuclear Solutions (SRNS),srs.gov,Federal Agency - Executive,Department of Energy,Aiken,SC,United States
southwestern power administration,southwestern power administration,Southwestern Power Administration,swpa.gov,Federal Agency - Executive,Department of Energy,Tulsa,OK,United States
"bechtel bettis, inc.","bechtel bettis, inc.","Bechtel Bettis, Inc.",unnpp.gov,Federal Agency - Executive,Department of Energy,West Mifflin,PA,United States
western area power administration,western area power administration,Western Area Power Administration,wapa.gov,Federal Agency - Executive,Department of Energy,Lakewood,CO,United States
office of civilian radioactive waste management (ocrwm),office of civilian radioactive waste management (ocrwm),Office of Civilian Radioactive Waste Management (OCRWM),ymp.gov,Federal Agency - Executive,Department of Energy,Las Vegas,NV,United States
health and human services,health and human services,Health and Human Services,acf.gov|afterschool.gov|agingstats.gov|aids.gov|childwelfare.gov|dhhs.gov|endingthedocumentgame.gov|everytrycounts.gov|foodsafety.gov|fruitsandveggiesmatter.gov|grantsolutions.gov|health.gov|hhs.gov|hiv.gov|medicalcountermeasures.gov|pandemicflu.gov|stopalcoholabuse.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
administration for community living,administration for community living,Administration for Community Living,acl.gov|whaging.gov|whitehouseconferenceonaging.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
department of health and human services,department of health and human services,Department of Health and Human Services,aging.gov|fatherhood.gov|idealab.gov|longtermcare.gov|opioids.gov|selectagents.gov|stopbullying.gov|therealcost.gov|thisfreelife.gov|vaccines.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
ahrq,ahrq,AHRQ,ahcpr.gov|ahrq.gov|guideline.gov|guidelines.gov,Federal Agency - Executive,Department of Health and Human Services,Rockville,MD,United States
"national institute on aging, national institutes of health","national institute on aging, national institutes of health","National Institute on Aging, National Institutes of Health",alzheimers.gov|brainhealth.gov,Federal Agency - Executive,Department of Health and Human Services,Bethesda,MD,United States
administration on aging,administration on aging,Administration on Aging,aoa.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
health and human services,health and human services,Health and Human Services,bam.gov,Federal Agency - Executive,Department of Health and Human Services,Atlanta,GA,United States
dept of health and human services,dept of health and human services,Dept of Health and Human Services,betobaccofree.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
president's council on bioethics,president's council on bioethics,President's Council on Bioethics,bioethics.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
national cancer institute,national cancer institute,National Cancer Institute,cancer.gov,Federal Agency - Executive,Department of Health and Human Services,Rockville,MD,United States
centers for disease control and prevention,centers for disease control and prevention,Centers For Disease Control and Prevention,cdc.gov,Federal Agency - Executive,Department of Health and Human Services,Atlanta,GA,United States
centers for disease control and prevention,centers for disease control and prevention,Centers for Disease Control and Prevention,cdcpartners.gov|flu.gov|niosh.gov|usbm.gov,Federal Agency - Executive,Department of Health and Human Services,Atlanta,GA,United States
national institute on aging,national institute on aging,National Institute on Aging,cerebrosano.gov,Federal Agency - Executive,Department of Health and Human Services,Bethesda,MD,United States
administration for children and families,administration for children and families,Administration for Children and Families,childcare.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
national library of medicine,national library of medicine,National Library of Medicine,clinicaltrial.gov|clinicaltrials.gov|docline.gov|locatorplus.gov|medlineplus.gov|nlm.gov|nnlm.gov|pubmed.gov,Federal Agency - Executive,Department of Health and Human Services,Bethesda,MD,United States
centers for medicare & medicaid services,centers for medicare & medicaid services,Centers for Medicare & Medicaid Services,cms.gov|cuidadodesalud.gov|healthcare.gov|insurekidsnow.gov|medicaid.gov|medicare.gov,Federal Agency - Executive,Department of Health and Human Services,Baltimore,MD,United States
niaaa,niaaa,NIAAA,collegedrinkingprevention.gov,Federal Agency - Executive,Department of Health and Human Services,Bethesda,MD,United States
national institutes of diabetes and digestive and kidney diseases,national institutes of diabetes and digestive and kidney diseases,National Institutes of Diabetes and Digestive and Kidney Diseases,diabetescommittee.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
health resources and services administration,health resources and services administration,Health Resources and Services Administration,donaciondeorganos.gov|hrsa.gov,Federal Agency - Executive,Department of Health and Human Services,Rockville,MD,United States
national institute on drug abuse,national institute on drug abuse,National Institute on Drug Abuse,drugabuse.gov,Federal Agency - Executive,Department of Health and Human Services,Baltimore,MD,United States
national institutes of health,national institutes of health,National Institutes of Health,edison.gov|genome.gov|iedison.gov|nih.gov,Federal Agency - Executive,Department of Health and Human Services,Bethesda,MD,United States
"health and human services, administration on aging","health and human services, administration on aging","Health and Human Services, Administration on Aging",eldercare.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
u.s. food and drug administration,u.s. food and drug administration,U.S. Food and Drug Administration,fda.gov,Federal Agency - Executive,Department of Health and Human Services,Rockville,MD,United States
substance abuse and mental health services administration,substance abuse and mental health services administration,Substance Abuse and Mental Health Services Administration,findtreatment.gov,Federal Agency - Executive,Department of Health and Human Services,Rockville,MD,United States
hhs,hhs,HHS,fitness.gov|hhsoig.gov|surgeongeneral.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
the department of health and human services,the department of health and human services,The Department of Health and Human Services,freshempire.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
"office of public health and science, office on women's health","office of public health and science, office on women's health","Office of Public Health and Science, Office on Women's Health",girlshealth.gov|womenshealth.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
health and human services,health and human services,Health and Human Services,globalhealth.gov|organdonor.gov|usphs.gov,Federal Agency - Executive,Department of Health and Human Services,Rockville,MD,United States
department of health and human services (dhhs),department of health and human services (dhhs),Department of Health and Human Services (DHHS),grants.gov,Federal Agency - Executive,Department of Health and Human Services,Washington,DC,United States
