catch_terms,recode_column,organization,domain_name,domain_type,agency,city,state,country
millennium challenge corporation,millennium challenge corporation,Millennium Challenge Corporation,mcctest.gov,Federal Agency - Executive,Millennium Challenge Corporation,Washington,DC,United States
institute for environmental conflict resolution,institute for environmental conflict resolution,Institute for Environmental Conflict Resolution,ecr.gov,Federal Agency - Executive,Morris K. Udall and Stewart L. Udall Foundation,Tucson,AZ,United States
morris k udall foundation,morris k udall foundation,Morris K Udall Foundation,udall.gov,Federal Agency - Executive,Morris K. Udall and Stewart L. Udall Foundation,Tucson,AZ,United States
science data systems branch,science data systems branch,Science Data Systems Branch,globe.gov,Federal Agency - Executive,National Aeronautics and Space Administration,Greenbelt,MD,United States
national aeronautics and space administration,national aeronautics and space administration,National Aeronautics and Space Administration,nasa.gov|scijinks.gov|usgeo.gov,Federal Agency - Executive,National Aeronautics and Space Administration,Huntsville,AL,United States
national archives and records administration,national archives and records administration,National Archives and Records Administration,9-11commission.gov|911commission.gov|archives.gov|bush41library.gov|emergency-federal-register.gov|fcic.gov|history.gov|jfklibrary.gov|lbjlibrary.gov|nara.gov|obamalibrary.gov|obamawhitehouse.gov|ourdocuments.gov|wartimecontracting.gov|webharvest.gov,Federal Agency - Executive,National Archives and Records Administration,College Park,MD,United States
william clinton presidential library,william clinton presidential library,William Clinton Presidential Library,clintonlibrary.gov,Federal Agency - Executive,National Archives and Records Administration,Little Rock,AR,United States
u.s. national archives and records administration,u.s. national archives and records administration,U.S. National Archives and Records Administration,eisenhowerlibrary.gov|trumanlibrary.gov,Federal Agency - Executive,National Archives and Records Administration,College Park,MD,United States
gerald r. ford library and museum,gerald r. ford library and museum,Gerald R. Ford Library and Museum,fordlibrarymuseum.gov,Federal Agency - Executive,National Archives and Records Administration,College Park,MD,United States
nara,nara,"NARA",frc.gov|georgewbushlibrary.gov,Federal Agency - Executive,National Archives and Records Administration,College Park,MD,United States
jimmy carter library & museum,jimmy carter library & museum,Jimmy Carter Library & Museum,jimmycarterlibrary.gov,Federal Agency - Executive,National Archives and Records Administration,College Park,MD,United States
npol,npol,NPOL,nixonlibrary.gov,Federal Agency - Executive,National Archives and Records Administration,College Park,MD,United States
policy and planning,policy and planning,Policy and Planning,reaganlibrary.gov,Federal Agency - Executive,National Archives and Records Administration,College Park,MD,United States
national archives,national archives,National Archives,recordsmanagement.gov,Federal Agency - Executive,National Archives and Records Administration,College Park,MD,United States
national capital planning commission,national capital planning commission,National Capital Planning Commission,ncpc.gov,Federal Agency - Executive,National Capital Planning Commission,Washington,DC,United States
national commission on military aviation safety,national commission on military aviation safety,National Commission on Military Aviation Safety,militaryaviationsafety.gov,Federal Agency - Executive,National Commission on Military Aviation Safety,Arlingont,VA,United States
national council on disability,national council on disability,National Council on Disability,ncd.gov,Federal Agency - Executive,National Council on Disability,Washington,DC,United States
national credit union administration,national credit union administration,National Credit Union Administration,mycreditunion.gov,Federal Agency - Executive,National Credit Union Administration,Alexandria,VA,United States
ncua,ncua,NCUA,ncua.gov,Federal Agency - Executive,National Credit Union Administration,Alexandria,VA,United States
national endowment for the arts,national endowment for the arts,National Endowment for the Arts,arts.gov|nea.gov,Federal Agency - Executive,National Endowment for the Arts,Washington,DC,United States
national endowment for the humanities,national endowment for the humanities,National Endowment for the Humanities,humanities.gov|neh.gov,Federal Agency - Executive,National Endowment for the Humanities,Washington,DC,United States
the national gallery of art,the national gallery of art,The National Gallery of Art,nga.gov,Federal Agency - Executive,National Gallery of Art,Washington,DC,United States
national indian gaming commision,national indian gaming commision,National Indian Gaming Commision,nigc.gov,Federal Agency - Executive,National Indian Gaming Commission,Washington,DC,United States
national labor relations board,national labor relations board,National Labor Relations Board,nlrb.gov,Federal Agency - Executive,National Labor Relations Board,Washington,DC,United States
national mediation board,national mediation board,National Mediation Board,nmb.gov,Federal Agency - Executive,National Mediation Board,Washington,DC,United States
national nanotechnology coordination office,national nanotechnology coordination office,National Nanotechnology Coordination Office,nano.gov,Federal Agency - Executive,National Nanotechnology Coordination Office,Arlington,VA,United States
"national security technologies, llc","national security technologies, llc","National Security Technologies, LLC",nnss.gov,Federal Agency - Executive,National Nuclear Security Administration,N Las Vegas,NV,United States
u.s. arctic research commission,u.s. arctic research commission,U.S. Arctic Research Commission,arctic.gov,Federal Agency - Executive,National Science Foundation,Arlington,VA,United States
national science foundation,national science foundation,National Science Foundation,nsf.gov|research.gov|sac.gov|science360.gov,Federal Agency - Executive,National Science Foundation,Alexandria,VA,United States
"national science foundation, office of polar programs","national science foundation, office of polar programs","National Science Foundation, Office of Polar Programs",usap.gov,Federal Agency - Executive,National Science Foundation,Arlington,VA,United States
national security agency,national security agency,National Security Agency,intelligencecareers.gov,Federal Agency - Executive,National Security Agency,Fort Meade,MD,United States
laboratory for physical sciences,laboratory for physical sciences,Laboratory for Physical Sciences,lps.gov,Federal Agency - Executive,National Security Agency,College Park,MD,United States
national security commission on artificial intelligence,national security commission on artificial intelligence,National Security Commission on Artificial Intelligence,nscai.gov,Federal Agency - Executive,National Security Commission on Artificial Intelligence,Arlington,VA,United States
national transportation safety board,national transportation safety board,National Transportation Safety Board,ntsb.gov,Federal Agency - Executive,National Transportation Safety Board,Washington,DC,United States
national coordination office for networking and information technology research and development (nco,national coordination office for networking and information technology research and development (nco,National Coordination Office for Networking and Information Technology Research and Development (NCO,itrd.gov,Federal Agency - Executive,Networking Information Technology Research and Development,Arlington,VA,United States
national coordination office - for networking and information technology research and development (n,national coordination office - for networking and information technology research and development (n,National Coordination Office - for Networking and Information Technology Research and Development (N,nitrd.gov,Federal Agency - Executive,Networking Information Technology Research and Development,Arlington,VA,United States
financial oversight and management board for puerto rico,financial oversight and management board for puerto rico,Financial Oversight and Management Board for Puerto Rico,promesa.gov,Federal Agency - Executive,Non-Federal Agency,San Juan,Puerto Rico,United States
northern border regional commission,northern border regional commission,Northern Border Regional Commission,nbrc.gov,Federal Agency - Executive,Northern Border Regional Commission,Concord,NH,United States
u.s. nuclear regulatory commission,u.s. nuclear regulatory commission,U.S. Nuclear Regulatory Commission,nrc-gateway.gov,Federal Agency - Executive,Nuclear Regulatory Commission,Rockville,MD,United States
nuclear regulatory commission,nuclear regulatory commission,Nuclear Regulatory Commission,nrc.gov,Federal Agency - Executive,Nuclear Regulatory Commission,Rockville,MD,United States
occupational safety & health review commission,occupational safety & health review commission,Occupational Safety & Health Review Commission,oshrc.gov,Federal Agency - Executive,Occupational Safety & Health Review Commission,Washington,DC,United States
office of government ethics,office of government ethics,Office of Government Ethics,integrity.gov|oge.gov,Federal Agency - Executive,Office of Government Ethics,Washington,DC,United States
network management group,network management group,Network Management Group,applicationmanager.gov|usastaffing.gov,Federal Agency - Executive,Office of Personnel Management,Macon,GA,United States
office of personnel management,office of personnel management,Office of Personnel Management,chcoc.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
us office of personnel managemet,us office of personnel managemet,US Office of Personnel Managemet,cybercareers.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
u.s. office of personnel management,u.s. office of personnel management,U.S. Office of Personnel Management,e-qip.gov|fedshirevets.gov|fegli.gov|nbib.gov|pac.gov|telework.gov|unlocktalent.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
office of personnel management,office of personnel management,Office of Personnel Management,employeeexpress.gov|governmentjobs.gov,Federal Agency - Executive,Office of Personnel Management,Macon,GA,United States
federal executive board,federal executive board,Federal Executive Board,feb.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
u.s. office of personnel management,u.s. office of personnel management,U.S. Office of Personnel Management,federaljobs.gov|fedjobs.gov|opm.gov,Federal Agency - Executive,Office of Personnel Management,Macon,GA,United States
federal flexible spending account program,federal flexible spending account program,Federal Flexible Spending Account Program,fsafeds.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
opm,opm,OPM,golearn.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
presidential management fellows program,presidential management fellows program,Presidential Management Fellows Program,pmf.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
u. s. office of personnel management,u. s. office of personnel management,U. S. Office of Personnel Management,usajobs.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
office of e-government initiatives,office of e-government initiatives,Office of e-Government Initiatives,usalearning.gov,Federal Agency - Executive,Office of Personnel Management,Washington,DC,United States
pension benefit guaranty corporation,pension benefit guaranty corporation,Pension Benefit Guaranty Corporation,pbgc.gov,Federal Agency - Executive,Pension Benefit Guaranty Corporation,Washington,DC,United States
postal regulatory commission,postal regulatory commission,Postal Regulatory Commission,prc.gov,Federal Agency - Executive,Postal Regulatory Commission,Washington,DC,United States
presidio trust,presidio trust,Presidio Trust,presidio.gov|presidiotrust.gov,Federal Agency - Executive,Presidio Trust,San Francisco,CA,United States
privacy & civil liberties oversight board,privacy & civil liberties oversight board,Privacy & Civil Liberties Oversight Board,pclob.gov,Federal Agency - Executive,Privacy and Civil Liberties Oversight Board,Washington,DC,United States
general services administration,general services administration,General Services Administration,pbrb.gov,Federal Agency - Executive,Public Buildings Reform Board,Washington,DC,United States
railroad retirement board,railroad retirement board,Railroad Retirement Board,rrb.gov,Federal Agency - Executive,Railroad Retirement Board,Chicago,IL,United States
securities and exchange commission,securities and exchange commission,Securities and Exchange Commission,investor.gov,Federal Agency - Executive,Securities and Exchange Commission,Washington,DC,United States
network operations branch,network operations branch,Network Operations Branch,sec.gov,Federal Agency - Executive,Securities and Exchange Commission,Washington,DC,United States
selective service system,selective service system,Selective Service System,sss.gov,Federal Agency - Executive,Selective Service System,Arlington,VA,United States
u.s. small business administration,u.s. small business administration,U.S. Small Business Administration,business.gov|nwbc.gov|sba.gov,Federal Agency - Executive,Small Business Administration,Washington,DC,United States
sba-office of innovation & technology,sba-office of innovation & technology,SBA-Office of Innovation & Technology,sbir.gov,Federal Agency - Executive,Small Business Administration,Washington,DC,United States
smithsonian institution,smithsonian institution,Smithsonian Institution,itis.gov,Federal Agency - Executive,Smithsonian Institution,Washington,DC,United States
social security administration,social security administration,Social Security Administration,segurosocial.gov|socialsecurity.gov|ssa.gov,Federal Agency - Executive,Social Security Administration,Baltimore,MD,United States
social security advisory board,social security advisory board,Social Security Advisory Board,ssab.gov,Federal Agency - Executive,Social Security Advisory Board,Washington,DC,United States
state justice institute,state justice institute,State Justice Institute,sji.gov,Federal Agency - Executive,State Justice Institute,Reston,VA,United States
surface transportation board,surface transportation board,Surface Transportation Board,stb.gov,Federal Agency - Executive,Surface Transportation Board,Washington,DC,United States
tva it,tva it,TVA IT,tva.gov,Federal Agency - Executive,Tennessee Valley Authority,Knoxville,TN,United States
tennessee valley authority office of inspector general,tennessee valley authority office of inspector general,Tennessee Valley Authority Office of Inspector General,tvaoig.gov,Federal Agency - Executive,Tennessee Valley Authority,Knoxville,TN,United States
terrorist screening center,terrorist screening center,Terrorist Screening Center,tsc.gov,Federal Agency - Executive,Terrorist Screening Center,Washington,DC,United States
prosecution task force,prosecution task force,Prosecution Task Force,ptf.gov,Federal Agency - Executive,The Intelligence Community,Washington,DC,United States
the united states world war one centennial commission,the united states world war one centennial commission,The United States World War One Centennial Commission,worldwar1centennial.gov,Federal Agency - Executive,The United States World War One Centennial Commission,Washington,DC,United States
usaid/gh.ceca,usaid/gh.ceca,USAID/GH.CECA,childreninadversity.gov,Federal Agency - Executive,U.S. Agency for International Development,Washington,DC,United States
office of the director of u.s. foreign assistance,office of the director of u.s. foreign assistance,Office of the Director of U.S. Foreign Assistance,dfafacts.gov,Federal Agency - Executive,U.S. Agency for International Development,Washington,DC,United States
u.s. agency for international development,u.s. agency for international development,U.S. Agency for International Development,feedthefuture.gov|neglecteddiseases.gov,Federal Agency - Executive,U.S. Agency for International Development,Washington,DC,United States
office of u.s. foreign disaster assistance (ofda),office of u.s. foreign disaster assistance (ofda),Office of U.S. Foreign Disaster Assistance (OFDA),ofda.gov,Federal Agency - Executive,U.S. Agency for International Development,Washington,DC,United States
president's malaria initiative,president's malaria initiative,President's Malaria Initiative,pmi.gov,Federal Agency - Executive,U.S. Agency for International Development,Washington,DC,United States
united states agency for international development,united states agency for international development,United States Agency for International Development,usaid.gov,Federal Agency - Executive,U.S. Agency for International Development,Washington,DC,United States
u.s. commission for the preservation of america's heritage abroad,u.s. commission for the preservation of america's heritage abroad,U.S. Commission for the Preservation of America's Heritage Abroad,heritageabroad.gov,Federal Agency - Executive,U.S. Commission for the Preservation of Americas Heritage Abroad,Washington,DC,United States
u. s. commission of fine arts,u. s. commission of fine arts,U. S. Commission of Fine Arts,cfa.gov,Federal Agency - Executive,U.S. Commission of Fine Arts,Washington,DC,United States
us commission on civil rights,us commission on civil rights,US Commission on Civil Rights,civilrightsusa.gov,Federal Agency - Executive,U.S. Commission on Civil Rights,Washington,DC,United States
u.s. commission on civil rights,u.s. commission on civil rights,U.S. Commission on Civil Rights,usccr.gov,Federal Agency - Executive,U.S. Commission on Civil Rights,Washington,DC,United States
us commission on international religious freedom,us commission on international religious freedom,US Commission on International Religious Freedom,uscirf.gov,Federal Agency - Executive,U.S. Commission on International Religious Freedom,Washington,DC,United States
aviation management directorate,aviation management directorate,Aviation Management Directorate,aff.gov,Federal Agency - Executive,U.S. Department of Agriculture,Boise,ID,United States
usda,usda,USDA,ag.gov,Federal Agency - Executive,U.S. Department of Agriculture,Fort Collins,CO,United States
agricultural research service,agricultural research service,Agricultural Research Service,ars-grin.gov|arsusda.gov,Federal Agency - Executive,U.S. Department of Agriculture,Beltsville,MD,United States
usda/fsis/opeer/ocio,usda/fsis/opeer/ocio,USDA/FSIS/OPEER/OCIO,askkaren.gov|befoodsafe.gov|isitdoneyet.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
office of energy policy and new uses,office of energy policy and new uses,Office of Energy Policy and New Uses,biopreferred.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
usda forest service - southwestern region,usda forest service - southwestern region,USDA Forest Service - Southwestern Region,bosque.gov,Federal Agency - Executive,U.S. Department of Agriculture,Albuquerque,NM,United States
usda center for nutrition policy & promotion,usda center for nutrition policy & promotion,USDA Center for Nutrition Policy & Promotion,choosemyplate.gov|myplate.gov|nel.gov,Federal Agency - Executive,U.S. Department of Agriculture,Alexandria,VA,United States
usda - center for nutrition policy and promotion,usda - center for nutrition policy and promotion,USDA - Center for Nutrition Policy and Promotion,dietaryguidelines.gov,Federal Agency - Executive,U.S. Department of Agriculture,Alexandria,VA,United States
national finance center,national finance center,National Finance Center,empowhr.gov,Federal Agency - Executive,U.S. Department of Agriculture,New Orleans,LA,United States
usda,usda,USDA,execsec.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
"usda, office of communications","usda, office of communications","USDA, Office of Communications",farmers.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
usda/fsis/ocio,usda/fsis/ocio,USDA/FSIS/OCIO,foodsafetyjobs.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
us forest service,us forest service,US Forest Service,forestsandrangelands.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
usda forest service,usda forest service,USDA Forest Service,fs.fed.us|symbols.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
us forest service- pacific northwest research station,us forest service- pacific northwest research station,US Forest Service- Pacific Northwest Research Station,icbemp.gov,Federal Agency - Executive,U.S. Department of Agriculture,Portland,OR,United States
usda/ars/nal,usda/ars/nal,USDA/ARS/NAL,invasivespeciesinfo.gov,Federal Agency - Executive,U.S. Department of Agriculture,Beltsville,MD,United States
"usda, ars, nal","usda, ars, nal","USDA, ARS, NAL",itap.gov,Federal Agency - Executive,U.S. Department of Agriculture,Beltsville,MD,United States
usda forest service conservation education,usda forest service conservation education,USDA Forest Service Conservation Education,juniorforestranger.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
national agricultural library,national agricultural library,National Agricultural Library,lcacommons.gov,Federal Agency - Executive,U.S. Department of Agriculture,Beltsville,MD,United States
usda forest service remote sensing applications center,usda forest service remote sensing applications center,USDA Forest Service Remote Sensing Applications Center,mtbs.gov,Federal Agency - Executive,U.S. Department of Agriculture,Salt Lake City,UT,United States
national advanced fire and resource institute,national advanced fire and resource institute,National Advanced Fire and Resource Institute,nafri.gov,Federal Agency - Executive,U.S. Department of Agriculture,Tucson,AZ,United States
office of communications,office of communications,Office of Communications,nutrition.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
national wildfire coordinating group (nwcg),national wildfire coordinating group (nwcg),National Wildfire Coordinating Group (NWCG),nwcg.gov,Federal Agency - Executive,U.S. Department of Agriculture,Boise,ID,United States
usda/fsis,usda/fsis,USDA/FSIS,pregunteleakaren.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
recreation one stop program management office,recreation one stop program management office,Recreation One Stop Program Management Office,recreation.gov,Federal Agency - Executive,U.S. Department of Agriculture,Denver,CO,United States
regional ecosystem office,regional ecosystem office,Regional Ecosystem Office,reo.gov,Federal Agency - Executive,U.S. Department of Agriculture,Portland,OR,United States
forest park service,forest park service,Forest Park Service,smokeybear.gov|woodsy.gov|woodsyowl.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
usda,usda,USDA,usda.gov,Federal Agency - Executive,U.S. Department of Agriculture,Ft. Collins,CO,United States
office of the chief information officer,office of the chief information officer,Office of the Chief Information Officer,usdapii.gov,Federal Agency - Executive,U.S. Department of Agriculture,Washington,DC,United States
national wildfire coordinating group,national wildfire coordinating group,National Wildfire Coordinating Group,wildfire.gov,Federal Agency - Executive,U.S. Department of Agriculture,Boise,ID,United States
nuclear waste technical review board,nuclear waste technical review board,Nuclear Waste Technical Review Board,nwtrb.gov,Federal Agency - Executive,U.S. Nuclear Waste Technical Review Board,Arlington,VA,United States
us office of special counsel,us office of special counsel,US Office of Special Counsel,osc.gov,Federal Agency - Executive,U.S. Office of Special Counsel,Washington,DC,United States
u. s. office of special counsel,u. s. office of special counsel,U. S. Office of Special Counsel,oscnet.gov,Federal Agency - Executive,U.S. Office of Special Counsel,Washington,DC,United States
peace corps,peace corps,Peace Corps,peacecorps.gov,Federal Agency - Executive,U.S. Peace Corps,Washington,DC,United States
committee for purchase from people who are blind or severely disabled,committee for purchase from people who are blind or severely disabled,Committee for Purchase From People Who Are Blind or Severely Disabled,abilityone.gov,Federal Agency - Executive,United States AbilityOne,Arlington,VA,United States
comittee for purchase from people who are blind or severely disabled,comittee for purchase from people who are blind or severely disabled,Comittee for Purchase From People Who are Blind or Severely Disabled,jwod.gov,Federal Agency - Executive,United States AbilityOne,Arlington,VA,United States
u.s access board,u.s access board,U.S Access Board,access-board.gov,Federal Agency - Executive,United States Access Board,Washington,DC,United States
african development foundation,african development foundation,African Development Foundation,adf.gov|usadf.gov,Federal Agency - Executive,United States African Development Foundation,Washington,DC,United States
u.s. global change research program,u.s. global change research program,U.S. Global Change Research Program,globalchange.gov|usgcrp.gov,Federal Agency - Executive,United States Global Change Research Program,Washington,DC,United States
united states holocaust memorial museum,united states holocaust memorial museum,United States Holocaust Memorial Museum,ushmm.gov,Federal Agency - Executive,United States Holocaust Memorial Museum,Washington,DC,United States
gsa/united states institute of peace,gsa/united states institute of peace,GSA/United States Institute of Peace,usip.gov,Federal Agency - Executive,United States Institute of Peace,Washington,DC,United States
united states interagency council on homelessness,united states interagency council on homelessness,United States Interagency Council on Homelessness,ich.gov|usich.gov,Federal Agency - Executive,United States Interagency Council on Homelessness,Washington,DC,United States
us international development finance corporation,us international development finance corporation,US International Development Finance Corporation,dfc.gov|idfc.gov|opic.gov|usidfc.gov,Federal Agency - Executive,United States International Development Finance Corporation,Washington,DC,United States
us international development finance corporation,us international development finance corporation,US International Development Finance Corporation,usdfc.gov,Federal Agency - Executive,United States International Development Finance Corporation,washington,DC,United States
united states international trade commission,united states international trade commission,United States International Trade Commission,usitc.gov,Federal Agency - Executive,United States International Trade Commission,Washington,DC,United States
usitc office of inspector general,usitc office of inspector general,USITC Office of Inspector General,usitcoig.gov,Federal Agency - Executive,"United States International Trade Commission, Office of Inspector General",Washington,DC,United States
u. s. postal service,u. s. postal service,U. S. Postal Service,changeofaddress.gov|uspsinnovates.gov,Federal Agency - Executive,United States Postal Service,Washington,DC,United States
u. s. postal service,u. s. postal service,U. S. Postal Service,mail.gov|myusps.gov|postoffice.gov|uspsinformeddelivery.gov,Federal Agency - Executive,United States Postal Service,Raleigh,NC,United States
u.s. postal service,u.s. postal service,U.S. Postal Service,purchasing.gov|usps.gov,Federal Agency - Executive,United States Postal Service,Raleigh,NC,United States
u.s. postal service,u.s. postal service,U.S. Postal Service,uspis.gov,Federal Agency - Executive,United States Postal Service,Arlington,VA,United States
"peace corps, office of inspector general","peace corps, office of inspector general","Peace Corps, Office of Inspector General",peacecorpsoig.gov,Federal Agency - Executive,"United States Postal Service, Office of Inspector General",Washington,DC,United States
usps office of inspector general,usps office of inspector general,USPS Office of Inspector General,uspsoig.gov,Federal Agency - Executive,"United States Postal Service, Office of Inspector General",Arlington,VA,United States
us trade and development agency,us trade and development agency,US Trade and Development Agency,ustda.gov,Federal Agency - Executive,United States Trade and Development Agency,Arlington,VA,United States
supreme court of the united states,supreme court of the united states,Supreme Court of the United States,sc-us.gov|scinet-test.gov|scinet.gov,Federal Agency - Judicial,The Supreme Court,Washington,DC,United States
supreme court of the us,supreme court of the us,Supreme Court of the US,scus.gov|supreme-court.gov|supremecourt.gov,Federal Agency - Judicial,The Supreme Court,Washington,DC,United States
supreme court of the united statest,supreme court of the united statest,Supreme Court of the United Statest,supremecourtus.gov,Federal Agency - Judicial,The Supreme Court,Washington,DC,United States
administrative office u.s. courts,administrative office u.s. courts,Administrative Office U.S. Courts,bankruptcy.gov|federalcourts.gov|federalprobation.gov|federalrules.gov|judicialconference.gov|pacer.gov|usbankruptcy.gov|usprobation.gov,Federal Agency - Judicial,U.S. Courts,Washington,DC,United States
us court of appeals for veterans claims,us court of appeals for veterans claims,US Court of Appeals for Veterans Claims,cavc.gov|uscavc.gov,Federal Agency - Judicial,U.S. Courts,Washington,DC,United States
federal judicial center,federal judicial center,Federal Judicial Center,fjc.gov,Federal Agency - Judicial,U.S. Courts,Washington,DC,United States
united states district court,united states district court,United States District Court,nmcourt.fed.us,Federal Agency - Judicial,U.S. Courts,Albuquerque,NM,United States
u.s. courts,u.s. courts,U.S. Courts,usc.gov|uscourts.gov,Federal Agency - Judicial,U.S. Courts,Washington,DC,United States
us sentencing commission,us sentencing commission,US Sentencing Commission,ussc.gov,Federal Agency - Judicial,U.S. Courts,Washington,DC,United States
united states tax court,united states tax court,United States Tax Court,ustaxcourt.gov,Federal Agency - Judicial,U.S. Courts,Washington,DC,United States
the architect of the capitol,the architect of the capitol,The Architect of the Capitol,aoc.gov,Federal Agency - Legislative,Architect of the Capitol,Washington,DC,United States
architect of the capitol,architect of the capitol,Architect of the Capitol,capital.gov|capitol.gov|uscapital.gov|uscapitol.gov|visitthecapital.gov|visitthecapitol.gov,Federal Agency - Legislative,Architect of the Capitol,Washington,DC,United States
aoc,aoc,AOC,usbg.gov,Federal Agency - Legislative,Architect of the Capitol,Washington,DC,United States
cyberspace solarium commission,cyberspace solarium commission,Cyberspace Solarium Commission,solarium.gov,Federal Agency - Legislative,Cyberspace Solarium Commission,Arlington,VA,United States
government accountability office,government accountability office,Government Accountability Office,gaoinnovation.gov|gaoinnovationlab.gov|gaoinnovations.gov,Federal Agency - Legislative,Government Accountability Office,Washington,DC,United States
government publishing office,government publishing office,Government Publishing Office,congressionaldirectory.gov|congressionalrecord.gov|fdlp.gov|federalregister.gov|senatecalendar.gov,Federal Agency - Legislative,Government Publishing Office,Washington,DC,United States
us government publishing office,us government publishing office,US Government Publishing Office,ecfr.gov|govinfo.gov|ofr.gov,Federal Agency - Legislative,Government Publishing Office,Washington,DC,United States
u.s. government publishing office,u.s. government publishing office,U.S. Government Publishing Office,fdsys.gov|presidentialdocuments.gov,Federal Agency - Legislative,Government Publishing Office,Washington,DC,United States
us govt publishing office,us govt publishing office,US Govt Publishing Office,fedreg.gov|gpo.gov,Federal Agency - Legislative,Government Publishing Office,Washington,DC,United States
united states government publishing office,united states government publishing office,United States Government Publishing Office,housecalendar.gov|uscode.gov,Federal Agency - Legislative,Government Publishing Office,Washington,DC,United States
office of federal register (nf),office of federal register (nf),Office of Federal Register (NF),usgovernmentmanual.gov,Federal Agency - Legislative,Government Publishing Office,College Park,MD,United States
library of congress,library of congress,Library of Congress,africanamericanhistorymonth.gov|americanmemory.gov|americaslibrary.gov|asianpacificheritage.gov|congress.gov|copyright.gov|digitalpreservation.gov|digitizationguidelines.gov|hispanicheritagemonth.gov|jewishheritage.gov|jewishheritagemonth.gov|law.gov|lctl.gov|libraryofcongress.gov|lis.gov|literacy.gov|loc.gov|loctps.gov|nativeamericanheritagemonth.gov|read.gov|section108.gov|thomas.gov|tps.gov|unitedstatescongress.gov|uscongress.gov|womenshistorymonth.gov,Federal Agency - Legislative,Library of Congress,Washington,DC,United States
copyright royalty board,copyright royalty board,Copyright Royalty Board,crb.gov,Federal Agency - Legislative,Library of Congress,Washington,DC,United States
congressional research service,congressional research service,Congressional Research Service,crs.gov,Federal Agency - Legislative,Library of Congress,Washington,DC,United States
medicaid and chip payment and access commission,medicaid and chip payment and access commission,Medicaid and CHIP Payment and Access Commission,macpac.gov,Federal Agency - Legislative,Medicaid and CHIP Payment and Access Commission,Washington,DC,United States
medicare payment advisory commission,medicare payment advisory commission,Medicare Payment Advisory Commission,medpac.gov,Federal Agency - Legislative,Medical Payment Advisory Commission,Washington,DC,United States
"national commission on military, national, and public service","national commission on military, national, and public service","National Commission on Military, National, and Public Service",inspire2serve.gov,Federal Agency - Legislative,"National Commission on Military, National, and Public Service",Arlington,VA,United States
congressional office of compliance,congressional office of compliance,Congressional Office of Compliance,compliance.gov,Federal Agency - Legislative,Office of Congressional Workplace Rights,Washington,DC,United States
office of congressional workplace rights,office of congressional workplace rights,Office of Congressional Workplace Rights,ocwr.gov,Federal Agency - Legislative,Office of Congressional Workplace Rights,Washington,DC,United States
the open world leadership center,the open world leadership center,The Open World Leadership Center,openworld.gov,Federal Agency - Legislative,Open World Leadership Center,Washington,DC,United States
john c. stennis center for public service,john c. stennis center for public service,John C. Stennis Center for Public Service,stennis.gov,Federal Agency - Legislative,Stennis Center for Public Service,Starkville,MS,United States
congressional budget office,congressional budget office,Congressional Budget Office,cbo.gov|cbonews.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
congressional executive commission on china,congressional executive commission on china,Congressional Executive Commission on China,cecc.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
congressional-executive commission on china,congressional-executive commission on china,Congressional-Executive Commission on China,china-commission.gov|pdbcecc.gov|ppdcecc.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
congressional-executive commission on china,congressional-executive commission on china,Congressional-Executive Commission on China,chinacommission.gov,Federal Agency - Legislative,The Legislative Branch,Washington,MD,United States
commission on security and cooperation in europe,commission on security and cooperation in europe,Commission on Security and Cooperation in Europe,csce.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
us house of representatives,us house of representatives,US House of Representatives,democraticleader.gov|gopwhip.gov|house.gov|housecommunications.gov|housenewsletters.gov|minoritywhip.gov|republicanleader.gov|republicanwhip.gov|tmdbhouse.gov|ushouse.gov|ushr.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
democratic whip's office,democratic whip's office,Democratic Whip's Office,democraticwhip.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
