business,grididLabel,opencorporatesLabel,crunchbaseLabel,quoraLabel,littlesisLabel
http://www.wikidata.org/entity/Q692286,grid.417562.3,,,Menarini,
http://www.wikidata.org/entity/Q692440,,,,,
http://www.wikidata.org/entity/Q692936,grid.483681.0,,,,
http://www.wikidata.org/entity/Q693473,,,,,
http://www.wikidata.org/entity/Q693572,,,,,
http://www.wikidata.org/entity/Q693594,,,,,
http://www.wikidata.org/entity/Q66,grid.423121.7,,boeing-defense-space-security,Boeing,27
http://www.wikidata.org/entity/Q66,grid.423121.7,,the-boeing-company,Boeing,27
http://www.wikidata.org/entity/Q66,grid.423121.7,,boeing-capital-corporation,Boeing,27
http://www.wikidata.org/entity/Q66,grid.423121.7,,boeing-commercial-airplanes,Boeing,27
http://www.wikidata.org/entity/Q66,grid.423121.7,,boeing-shared-services-group,Boeing,27
http://www.wikidata.org/entity/Q67,grid.410308.e,,airbus-2,Airbus-company-1,
http://www.wikidata.org/entity/Q67,grid.410308.e,,airbus-americas-engineering,Airbus-company-1,
http://www.wikidata.org/entity/Q248,grid.419318.6,us_de/2189074,intel,Integrated-Electronics,61
http://www.wikidata.org/entity/Q248,grid.419318.6,us_de/2189074,intel-gold-technology-provider,Integrated-Electronics,61
http://www.wikidata.org/entity/Q248,grid.419318.6,us_de/2189074,intel,Intel-company,61
http://www.wikidata.org/entity/Q248,grid.419318.6,us_de/2189074,intel-gold-technology-provider,Intel-company,61
http://www.wikidata.org/entity/Q312,grid.455360.1,us_ca/C0806592,apple,Apple-company,
http://www.wikidata.org/entity/Q380,grid.453567.6,,facebook,Facebook-company,
http://www.wikidata.org/entity/Q1343,,,,,
http://www.wikidata.org/entity/Q1346,,,,,
http://www.wikidata.org/entity/Q2311,grid.424413.4,,airbus-2,Airbus-Group,261779
http://www.wikidata.org/entity/Q2311,grid.424413.4,,airbus-americas-engineering,Airbus-Group,261779
http://www.wikidata.org/entity/Q3310,,,,,
http://www.wikidata.org/entity/Q3884,grid.467171.2,us_de/2620453,amazon,Amazon-company,172
http://www.wikidata.org/entity/Q3884,grid.467171.2,us_de/2620453,culting-of-brands,Amazon-company,172
http://www.wikidata.org/entity/Q3884,grid.467171.2,us_de/2620453,sleeklighting,Amazon-company,172
http://www.wikidata.org/entity/Q3884,grid.467171.2,us_de/2620453,naomi-leff,Amazon-company,172
http://www.wikidata.org/entity/Q4995,grid.421744.0,,sabmiller-plc,SABMiller,75836
http://www.wikidata.org/entity/Q6686,grid.4929.6,fr/441639465,,Renault,
http://www.wikidata.org/entity/Q6750,,,,,
http://www.wikidata.org/entity/Q6751,,,,,
http://www.wikidata.org/entity/Q7240,grid.419474.b,us_md/D03964756,lockheed-martin,Lockheed-Martin-company,58
http://www.wikidata.org/entity/Q8093,grid.471191.b,jp/1130001011420,,Nintendo-company,
http://www.wikidata.org/entity/Q8774,,,international-airlines-group,,
http://www.wikidata.org/entity/Q9401,grid.3319.8,de/T3104V_HRB6000,basf,BASF,
http://www.wikidata.org/entity/Q9401,grid.3319.8,de/T3104V_HRB6000,cognis,BASF,
http://www.wikidata.org/entity/Q11407,,,,VMware-company,119296
http://www.wikidata.org/entity/Q11463,grid.467212.4,,cosa,,654
http://www.wikidata.org/entity/Q11463,grid.467212.4,,adobe-systems,,654
http://www.wikidata.org/entity/Q11463,grid.467212.4,,frame-technology,,654
http://www.wikidata.org/entity/Q11463,grid.467212.4,,macromedia,,654
http://www.wikidata.org/entity/Q11463,grid.467212.4,,day-software,,654
http://www.wikidata.org/entity/Q11463,grid.467212.4,,antepo,,654
http://www.wikidata.org/entity/Q11463,grid.467212.4,,adobe-ventures,,654
http://www.wikidata.org/entity/Q11874,,,,Zvolen-Slovakia,
http://www.wikidata.org/entity/Q12221,,,,,
http://www.wikidata.org/entity/Q13683,,,,NYSE-Euronext,544
